;loinc_num;long_common_name;component;system;property;combined_col;removed_punc;tokens;clean_tokens;pos_tag;clean_text;query;rank
157;1920-8;Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma;Aspartate aminotransferase;Ser/Plas;CCnc;Aspartate aminotransferase [Enzymatic activity/volume] in Serum or PlasmaAspartate aminotransferaseSer/Plasproperty;Aspartate aminotransferase Enzymatic activityvolume in Serum or PlasmaAspartate aminotransferaseSerPlasproperty;['aspartate', 'aminotransferase', 'enzymatic', 'activityvolume', 'in', 'serum', 'or', 'plasmaaspartate', 'aminotransferaseserplasproperty'];['aspartate', 'aminotransferase', 'enzymatic', 'activityvolume', 'serum', 'plasmaaspartate', 'aminotransferaseserplasproperty'];[('aspartate', 'JJ'), ('aminotransferase', 'NN'), ('enzymatic', 'JJ'), ('activityvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaaspartate', 'NN'), ('aminotransferaseserplasproperty', 'NN')];aspartate aminotransferase enzymatic activityvolume serum plasmaaspartate aminotransferaseserplasproperty;bilirubin in plasma;0
158;13317-3;Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific culture;Staphylococcus aureus.methicillin resistant isolate;XXX;ACnc;Methicillin resistant Staphylococcus aureus [Presence] in Unspecified specimen by Organism specific cultureStaphylococcus aureus.methicillin resistant isolateXXXproperty;Methicillin resistant Staphylococcus aureus Presence in Unspecified specimen by Organism specific cultureStaphylococcus aureusmethicillin resistant isolateXXXproperty;['methicillin', 'resistant', 'staphylococcus', 'aureus', 'presence', 'in', 'unspecified', 'specimen', 'by', 'organism', 'specific', 'culturestaphylococcus', 'aureusmethicillin', 'resistant', 'isolatexxxproperty'];['methicillin', 'resistant', 'staphylococcus', 'aureus', 'presence', 'unspecified', 'specimen', 'organism', 'specific', 'culturestaphylococcus', 'aureusmethicillin', 'resistant', 'isolatexxxproperty'];[('methicillin', 'NN'), ('resistant', 'JJ'), ('staphylococcus', 'NN'), ('aureus', 'NN'), ('presence', 'NN'), ('in', 'IN'), ('unspecified', 'JJ'), ('specimen', 'NNS'), ('by', 'IN'), ('organism', 'NN'), ('specific', 'JJ'), ('culturestaphylococcus', 'NN'), ('aureusmethicillin', 'NN'), ('resistant', 'JJ'), ('isolatexxxproperty', 'NN')];methicillin resistant staphylococcus aureus presence unspecified specimen organism specific culturestaphylococcus aureusmethicillin resistant isolatexxxproperty;bilirubin in plasma;0
159;925-8;Blood product disposition [Type];Blood product disposition;^BPU;Type;Blood product disposition [Type]Blood product disposition^BPUproperty;Blood product disposition TypeBlood product dispositionBPUproperty;['blood', 'product', 'disposition', 'typeblood', 'product', 'dispositionbpuproperty'];['blood', 'product', 'disposition', 'typeblood', 'product', 'dispositionbpuproperty'];[('blood', 'NN'), ('product', 'NN'), ('disposition', 'NN'), ('typeblood', 'VBD'), ('product', 'NN'), ('dispositionbpuproperty', 'NN')];blood product disposition typeblood product dispositionbpuproperty;bilirubin in plasma;0
160;14749-6;Glucose [Moles/volume] in Serum or Plasma;Glucose;Ser/Plas;SCnc;Glucose [Moles/volume] in Serum or PlasmaGlucoseSer/Plasproperty;Glucose Molesvolume in Serum or PlasmaGlucoseSerPlasproperty;['glucose', 'molesvolume', 'in', 'serum', 'or', 'plasmaglucoseserplasproperty'];['glucose', 'molesvolume', 'serum', 'plasmaglucoseserplasproperty'];[('glucose', 'JJ'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaglucoseserplasproperty', 'NN')];glucose molesvolume serum plasmaglucoseserplasproperty;bilirubin in plasma;0
161;14747-0;Glucose [Moles/volume] in Pleural fluid;Glucose;Plr fld;SCnc;Glucose [Moles/volume] in Pleural fluidGlucosePlr fldproperty;Glucose Molesvolume in Pleural fluidGlucosePlr fldproperty;['glucose', 'molesvolume', 'in', 'pleural', 'fluidglucoseplr', 'fldproperty'];['glucose', 'molesvolume', 'pleural', 'fluidglucoseplr', 'fldproperty'];[('glucose', 'JJ'), ('molesvolume', 'NN'), ('in', 'IN'), ('pleural', 'JJ'), ('fluidglucoseplr', 'NN'), ('fldproperty', 'NN')];glucose molesvolume pleural fluidglucoseplr fldproperty;bilirubin in plasma;0
162;2093-3;Cholesterol [Mass/volume] in Serum or Plasma;Cholesterol;Ser/Plas;MCnc;Cholesterol [Mass/volume] in Serum or PlasmaCholesterolSer/Plasproperty;Cholesterol Massvolume in Serum or PlasmaCholesterolSerPlasproperty;['cholesterol', 'massvolume', 'in', 'serum', 'or', 'plasmacholesterolserplasproperty'];['cholesterol', 'massvolume', 'serum', 'plasmacholesterolserplasproperty'];[('cholesterol', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmacholesterolserplasproperty', 'NN')];cholesterol massvolume serum plasmacholesterolserplasproperty;bilirubin in plasma;0
163;1968-7;Bilirubin.direct [Mass/volume] in Serum or Plasma;Bilirubin.glucuronidated+Bilirubin.albumin bound;Ser/Plas;MCnc;Bilirubin.direct [Mass/volume] in Serum or PlasmaBilirubin.glucuronidated+Bilirubin.albumin boundSer/Plasproperty;Bilirubindirect Massvolume in Serum or PlasmaBilirubinglucuronidatedBilirubinalbumin boundSerPlasproperty;['bilirubindirect', 'massvolume', 'in', 'serum', 'or', 'plasmabilirubinglucuronidatedbilirubinalbumin', 'boundserplasproperty'];['bilirubindirect', 'massvolume', 'serum', 'plasmabilirubinglucuronidatedbilirubinalbumin', 'boundserplasproperty'];[('bilirubindirect', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinglucuronidatedbilirubinalbumin', 'NN'), ('boundserplasproperty', 'NN')];bilirubindirect massvolume serum plasmabilirubinglucuronidatedbilirubinalbumin boundserplasproperty;bilirubin in plasma;1
164;26464-8;Leukocytes [#/volume] in Blood;Leukocytes;Bld;NCnc;Leukocytes [#/volume] in BloodLeukocytesBldproperty;Leukocytes volume in BloodLeukocytesBldproperty;['leukocytes', 'volume', 'in', 'bloodleukocytesbldproperty'];['leukocytes', 'volume', 'bloodleukocytesbldproperty'];[('leukocytes', 'NNS'), ('volume', 'NN'), ('in', 'IN'), ('bloodleukocytesbldproperty', 'NN')];leukocytes volume bloodleukocytesbldproperty;bilirubin in plasma;0
165;74774-1;Glucose [Mass/volume] in Serum, Plasma or Blood;Glucose;Ser/Plas/Bld;MCnc;Glucose [Mass/volume] in Serum, Plasma or BloodGlucoseSer/Plas/Bldproperty;Glucose Massvolume in Serum Plasma or BloodGlucoseSerPlasBldproperty;['glucose', 'massvolume', 'in', 'serum', 'plasma', 'or', 'bloodglucoseserplasbldproperty'];['glucose', 'massvolume', 'serum', 'plasma', 'bloodglucoseserplasbldproperty'];[('glucose', 'JJ'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'JJ'), ('plasma', 'NN'), ('or', 'CC'), ('bloodglucoseserplasbldproperty', 'NN')];glucose massvolume serum plasma bloodglucoseserplasbldproperty;bilirubin in plasma;0
166;8310-5;Body temperature;Body temperature;^Patient;Temp;Body temperatureBody temperature^Patientproperty;Body temperatureBody temperaturePatientproperty;['body', 'temperaturebody', 'temperaturepatientproperty'];['body', 'temperaturebody', 'temperaturepatientproperty'];[('body', 'NN'), ('temperaturebody', 'NN'), ('temperaturepatientproperty', 'NN')];body temperaturebody temperaturepatientproperty;bilirubin in plasma;0
167;934-0;Blood product unit ID [#];Blood product unit ID;Dose;Num;Blood product unit ID [#]Blood product unit IDDoseproperty;Blood product unit ID Blood product unit IDDoseproperty;['blood', 'product', 'unit', 'id', 'blood', 'product', 'unit', 'iddoseproperty'];['blood', 'product', 'unit', 'id', 'blood', 'product', 'unit', 'iddoseproperty'];[('blood', 'NN'), ('product', 'NN'), ('unit', 'NN'), ('id', 'JJ'), ('blood', 'NN'), ('product', 'NN'), ('unit', 'NN'), ('iddoseproperty', 'NN')];blood product unit id blood product unit iddoseproperty;bilirubin in plasma;0
168;14423-8;Bilirubin.total [Mass/volume] in Synovial fluid;Bilirubin;Synv fld;MCnc;Bilirubin.total [Mass/volume] in Synovial fluidBilirubinSynv fldproperty;Bilirubintotal Massvolume in Synovial fluidBilirubinSynv fldproperty;['bilirubintotal', 'massvolume', 'in', 'synovial', 'fluidbilirubinsynv', 'fldproperty'];['bilirubintotal', 'massvolume', 'synovial', 'fluidbilirubinsynv', 'fldproperty'];[('bilirubintotal', 'JJ'), ('massvolume', 'NN'), ('in', 'IN'), ('synovial', 'JJ'), ('fluidbilirubinsynv', 'NN'), ('fldproperty', 'NN')];bilirubintotal massvolume synovial fluidbilirubinsynv fldproperty;bilirubin in plasma;1
169;1742-6;Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma;Alanine aminotransferase;Ser/Plas;CCnc;Alanine aminotransferase [Enzymatic activity/volume] in Serum or PlasmaAlanine aminotransferaseSer/Plasproperty;Alanine aminotransferase Enzymatic activityvolume in Serum or PlasmaAlanine aminotransferaseSerPlasproperty;['alanine', 'aminotransferase', 'enzymatic', 'activityvolume', 'in', 'serum', 'or', 'plasmaalanine', 'aminotransferaseserplasproperty'];['alanine', 'aminotransferase', 'enzymatic', 'activityvolume', 'serum', 'plasmaalanine', 'aminotransferaseserplasproperty'];[('alanine', 'JJ'), ('aminotransferase', 'NN'), ('enzymatic', 'JJ'), ('activityvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaalanine', 'NN'), ('aminotransferaseserplasproperty', 'NN')];alanine aminotransferase enzymatic activityvolume serum plasmaalanine aminotransferaseserplasproperty;bilirubin in plasma;0
170;14764-5;Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose PO;Glucose^3H post 100 g glucose PO;Ser/Plas;SCnc;Glucose [Moles/volume] in Serum or Plasma --3 hours post 100 g glucose POGlucose^3H post 100 g glucose POSer/Plasproperty;Glucose Molesvolume in Serum or Plasma 3 hours post 100 g glucose POGlucose3H post 100 g glucose POSerPlasproperty;['glucose', 'molesvolume', 'in', 'serum', 'or', 'plasma', '3', 'hours', 'post', '100', 'g', 'glucose', 'poglucose3h', 'post', '100', 'g', 'glucose', 'poserplasproperty'];['glucose', 'molesvolume', 'serum', 'plasma', '3', 'hours', 'post', '100', 'g', 'glucose', 'poglucose3h', 'post', '100', 'g', 'glucose', 'poserplasproperty'];[('glucose', 'JJ'), ('molesvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasma', 'VB'), ('3', 'CD'), ('hours', 'NNS'), ('post', 'RB'), ('100', 'CD'), ('g', 'NNS'), ('glucose', 'JJ'), ('poglucose3h', 'NNS'), ('post', 'VBD'), ('100', 'CD'), ('g', 'NN'), ('glucose', 'NN'), ('poserplasproperty', 'NN')];glucose molesvolume serum plasma 3 hours post 100 g glucose poglucose3h post 100 g glucose poserplasproperty;bilirubin in plasma;0
171;1994-3;Calcium.ionized [Moles/volume] in Blood;Calcium.ionized;Bld;SCnc;Calcium.ionized [Moles/volume] in BloodCalcium.ionizedBldproperty;Calciumionized Molesvolume in BloodCalciumionizedBldproperty;['calciumionized', 'molesvolume', 'in', 'bloodcalciumionizedbldproperty'];['calciumionized', 'molesvolume', 'bloodcalciumionizedbldproperty'];[('calciumionized', 'VBN'), ('molesvolume', 'NN'), ('in', 'IN'), ('bloodcalciumionizedbldproperty', 'NN')];calciumionized molesvolume bloodcalciumionizedbldproperty;bilirubin in plasma;0
172;1751-7;Albumin [Mass/volume] in Serum or Plasma;Albumin;Ser/Plas;MCnc;Albumin [Mass/volume] in Serum or PlasmaAlbuminSer/Plasproperty;Albumin Massvolume in Serum or PlasmaAlbuminSerPlasproperty;['albumin', 'massvolume', 'in', 'serum', 'or', 'plasmaalbuminserplasproperty'];['albumin', 'massvolume', 'serum', 'plasmaalbuminserplasproperty'];[('albumin', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaalbuminserplasproperty', 'NN')];albumin massvolume serum plasmaalbuminserplasproperty;bilirubin in plasma;0
173;1003-3;Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma;Indirect antiglobulin test.complement specific reagent;Ser/Plas;ACnc;Indirect antiglobulin test.complement specific reagent [Presence] in Serum or PlasmaIndirect antiglobulin test.complement specific reagentSer/Plasproperty;Indirect antiglobulin testcomplement specific reagent Presence in Serum or PlasmaIndirect antiglobulin testcomplement specific reagentSerPlasproperty;['indirect', 'antiglobulin', 'testcomplement', 'specific', 'reagent', 'presence', 'in', 'serum', 'or', 'plasmaindirect', 'antiglobulin', 'testcomplement', 'specific', 'reagentserplasproperty'];['indirect', 'antiglobulin', 'testcomplement', 'specific', 'reagent', 'presence', 'serum', 'plasmaindirect', 'antiglobulin', 'testcomplement', 'specific', 'reagentserplasproperty'];[('indirect', 'JJ'), ('antiglobulin', 'NN'), ('testcomplement', 'NN'), ('specific', 'JJ'), ('reagent', 'NN'), ('presence', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaindirect', 'JJ'), ('antiglobulin', 'NN'), ('testcomplement', 'NN'), ('specific', 'JJ'), ('reagentserplasproperty', 'NN')];indirect antiglobulin testcomplement specific reagent presence serum plasmaindirect antiglobulin testcomplement specific reagentserplasproperty;bilirubin in plasma;1
174;1971-1;Bilirubin.indirect [Mass/volume] in Serum or Plasma;Bilirubin.non-glucuronidated;Ser/Plas;MCnc;Bilirubin.indirect [Mass/volume] in Serum or PlasmaBilirubin.non-glucuronidatedSer/Plasproperty;Bilirubinindirect Massvolume in Serum or PlasmaBilirubinnonglucuronidatedSerPlasproperty;['bilirubinindirect', 'massvolume', 'in', 'serum', 'or', 'plasmabilirubinnonglucuronidatedserplasproperty'];['bilirubinindirect', 'massvolume', 'serum', 'plasmabilirubinnonglucuronidatedserplasproperty'];[('bilirubinindirect', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmabilirubinnonglucuronidatedserplasproperty', 'NN')];bilirubinindirect massvolume serum plasmabilirubinnonglucuronidatedserplasproperty;bilirubin in plasma;1
175;26484-6;Monocytes [#/volume] in Blood;Monocytes;Bld;NCnc;Monocytes [#/volume] in BloodMonocytesBldproperty;Monocytes volume in BloodMonocytesBldproperty;['monocytes', 'volume', 'in', 'bloodmonocytesbldproperty'];['monocytes', 'volume', 'bloodmonocytesbldproperty'];[('monocytes', 'NNS'), ('volume', 'NN'), ('in', 'IN'), ('bloodmonocytesbldproperty', 'NN')];monocytes volume bloodmonocytesbldproperty;bilirubin in plasma;0
176;18865-6;Ampicillin+Sulbactam [Susceptibility];Ampicillin+Sulbactam;Isolate;Susc;Ampicillin+Sulbactam [Susceptibility]Ampicillin+SulbactamIsolateproperty;AmpicillinSulbactam SusceptibilityAmpicillinSulbactamIsolateproperty;['ampicillinsulbactam', 'susceptibilityampicillinsulbactamisolateproperty'];['ampicillinsulbactam', 'susceptibilityampicillinsulbactamisolateproperty'];[('ampicillinsulbactam', 'NN'), ('susceptibilityampicillinsulbactamisolateproperty', 'NN')];ampicillinsulbactam susceptibilityampicillinsulbactamisolateproperty;bilirubin in plasma;0
177;882-1;ABO & Rh group [Type] in Blood;ABO+Rh group;Bld;Type;ABO & Rh group [Type] in BloodABO+Rh groupBldproperty;ABO  Rh group Type in BloodABORh groupBldproperty;['abo', 'rh', 'group', 'type', 'in', 'bloodaborh', 'groupbldproperty'];['abo', 'rh', 'group', 'type', 'bloodaborh', 'groupbldproperty'];[('abo', 'RB'), ('rh', 'NN'), ('group', 'NN'), ('type', 'NN'), ('in', 'IN'), ('bloodaborh', 'NN'), ('groupbldproperty', 'NN')];abo rh group type bloodaborh groupbldproperty;bilirubin in plasma;0
178;1250-0;Major crossmatch [interpretation];Major crossmatch;Ser/Plas;Imp;Major crossmatch [interpretation]Major crossmatchSer/Plasproperty;Major crossmatch interpretationMajor crossmatchSerPlasproperty;['major', 'crossmatch', 'interpretationmajor', 'crossmatchserplasproperty'];['major', 'crossmatch', 'interpretationmajor', 'crossmatchserplasproperty'];[('major', 'JJ'), ('crossmatch', 'NN'), ('interpretationmajor', 'NN'), ('crossmatchserplasproperty', 'NN')];major crossmatch interpretationmajor crossmatchserplasproperty;bilirubin in plasma;0
179;883-9;ABO group [Type] in Blood;ABO group;Bld;Type;ABO group [Type] in BloodABO groupBldproperty;ABO group Type in BloodABO groupBldproperty;['abo', 'group', 'type', 'in', 'bloodabo', 'groupbldproperty'];['abo', 'group', 'type', 'bloodabo', 'groupbldproperty'];[('abo', 'NN'), ('group', 'NN'), ('type', 'NN'), ('in', 'IN'), ('bloodabo', 'NN'), ('groupbldproperty', 'NN')];abo group type bloodabo groupbldproperty;bilirubin in plasma;0
180;2132-9;Cobalamin (Vitamin B12) [Mass/volume] in Serum;Cobalamins;Ser;MCnc;Cobalamin (Vitamin B12) [Mass/volume] in SerumCobalaminsSerproperty;Cobalamin Vitamin B12 Massvolume in SerumCobalaminsSerproperty;['cobalamin', 'vitamin', 'b12', 'massvolume', 'in', 'serumcobalaminsserproperty'];['cobalamin', 'vitamin', 'b12', 'massvolume', 'serumcobalaminsserproperty'];[('cobalamin', 'NN'), ('vitamin', 'NN'), ('b12', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serumcobalaminsserproperty', 'NN')];cobalamin vitamin b12 massvolume serumcobalaminsserproperty;bilirubin in plasma;0
181;31100-1;Hematocrit [Volume Fraction] of Blood by Impedance;Hematocrit;Bld;VFr;Hematocrit [Volume Fraction] of Blood by ImpedanceHematocritBldproperty;Hematocrit Volume Fraction of Blood by ImpedanceHematocritBldproperty;['hematocrit', 'volume', 'fraction', 'of', 'blood', 'by', 'impedancehematocritbldproperty'];['hematocrit', 'volume', 'fraction', 'blood', 'impedancehematocritbldproperty'];[('hematocrit', 'NN'), ('volume', 'NN'), ('fraction', 'NN'), ('of', 'IN'), ('blood', 'NN'), ('by', 'IN'), ('impedancehematocritbldproperty', 'NN')];hematocrit volume fraction blood impedancehematocritbldproperty;bilirubin in plasma;0
182;6768-6;Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma;Alkaline phosphatase;Ser/Plas;CCnc;Alkaline phosphatase [Enzymatic activity/volume] in Serum or PlasmaAlkaline phosphataseSer/Plasproperty;Alkaline phosphatase Enzymatic activityvolume in Serum or PlasmaAlkaline phosphataseSerPlasproperty;['alkaline', 'phosphatase', 'enzymatic', 'activityvolume', 'in', 'serum', 'or', 'plasmaalkaline', 'phosphataseserplasproperty'];['alkaline', 'phosphatase', 'enzymatic', 'activityvolume', 'serum', 'plasmaalkaline', 'phosphataseserplasproperty'];[('alkaline', 'JJ'), ('phosphatase', 'NN'), ('enzymatic', 'JJ'), ('activityvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasmaalkaline', 'NN'), ('phosphataseserplasproperty', 'NN')];alkaline phosphatase enzymatic activityvolume serum plasmaalkaline phosphataseserplasproperty;bilirubin in plasma;0
183;2069-3;Chloride [Moles/volume] in Blood;Chloride;Bld;SCnc;Chloride [Moles/volume] in BloodChlorideBldproperty;Chloride Molesvolume in BloodChlorideBldproperty;['chloride', 'molesvolume', 'in', 'bloodchloridebldproperty'];['chloride', 'molesvolume', 'bloodchloridebldproperty'];[('chloride', 'NN'), ('molesvolume', 'NN'), ('in', 'IN'), ('bloodchloridebldproperty', 'NN')];chloride molesvolume bloodchloridebldproperty;bilirubin in plasma;0
184;3082-5;Tyrosine aminotransferase [Mass/volume] in Plasma;Tyrosine aminotransferase;Plas;MCnc;Tyrosine aminotransferase [Mass/volume] in PlasmaTyrosine aminotransferasePlasproperty;Tyrosine aminotransferase Massvolume in PlasmaTyrosine aminotransferasePlasproperty;['tyrosine', 'aminotransferase', 'massvolume', 'in', 'plasmatyrosine', 'aminotransferaseplasproperty'];['tyrosine', 'aminotransferase', 'massvolume', 'plasmatyrosine', 'aminotransferaseplasproperty'];[('tyrosine', 'JJ'), ('aminotransferase', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('plasmatyrosine', 'NN'), ('aminotransferaseplasproperty', 'NN')];tyrosine aminotransferase massvolume plasmatyrosine aminotransferaseplasproperty;bilirubin in plasma;0
185;30522-7;C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity method;C reactive protein;Ser/Plas;MCnc;C reactive protein [Mass/volume] in Serum or Plasma by High sensitivity methodC reactive proteinSer/Plasproperty;C reactive protein Massvolume in Serum or Plasma by High sensitivity methodC reactive proteinSerPlasproperty;['c', 'reactive', 'protein', 'massvolume', 'in', 'serum', 'or', 'plasma', 'by', 'high', 'sensitivity', 'methodc', 'reactive', 'proteinserplasproperty'];['c', 'reactive', 'protein', 'massvolume', 'serum', 'plasma', 'high', 'sensitivity', 'methodc', 'reactive', 'proteinserplasproperty'];[('c', 'NNS'), ('reactive', 'VBP'), ('protein', 'NN'), ('massvolume', 'NN'), ('in', 'IN'), ('serum', 'NN'), ('or', 'CC'), ('plasma', 'NN'), ('by', 'IN'), ('high', 'JJ'), ('sensitivity', 'NN'), ('methodc', 'VBP'), ('reactive', 'JJ'), ('proteinserplasproperty', 'NN')];c reactive protein massvolume serum plasma high sensitivity methodc reactive proteinserplasproperty;bilirubin in plasma;0
